# Curated Indian food core table — values per 100 g edible portion.
# Compiled against IFCT 2017 (NIN/ICMR) cooked-dish tables, NIN "Nutritive Value
# of Indian Foods", and USDA FoodData Central analogues for shared ingredients.
# Cooked mixed dishes vary by household; treat these as representative means.
# columns: name|hindi|category|region|diet|kcal|protein|carbs|fat|satfat|fiber|sugar|sodium|class|unit|grams|tags
#
# ---------------------------------------------------------------- BREADS
Peda|पेड़ा|North Indian|pan|veg|398|9.2|46.0|20.0|12.6|0.3|43.0|100|sweet|piece|20|temple
Halwa Suji|सूजी हलवा|North Indian|pan|veg|352|4.4|48.0|16.0|9.8|1.2|30.0|90|sweet|bowl|100|festival
Gajar Halwa|गाजर हलवा|Punjabi|north|veg|268|4.0|34.0|13.0|8.2|2.4|28.0|110|sweet|bowl|120|winter,festival
Moong Dal Halwa|मूंग दाल हलवा|Rajasthani|north|veg|432|8.0|46.0|24.0|14.0|3.0|32.0|90|sweet|bowl|100|winter,rich
Kheer|खीर|North Indian|pan|veg|142|3.6|22.0|4.4|2.6|0.3|18.0|60|sweet|bowl|150|festival
Payasam|പായസം|South Indian|south|veg|156|3.2|24.0|5.4|3.8|0.6|20.0|70|sweet|bowl|150|onam,festival
Phirni|फिरनी|North Indian|north|veg|168|3.8|24.0|6.2|3.6|0.3|19.0|60|sweet|bowl|130|festival
Shrikhand|શ્રીખંડ|Gujarati|west|veg|248|6.4|34.0|9.6|6.0|0.2|32.0|80|sweet|bowl|100|festival
Basundi|બાસુંદી|Gujarati|west|veg|228|6.8|28.0|10.0|6.4|0.1|26.0|90|sweet|bowl|120|festival
Modak|मोदक|Maharashtrian|west|veg|292|4.2|44.0|11.4|8.0|2.4|24.0|60|sweet|piece|35|ganesh,festival
Puran Poli|पुरण पोळी|Maharashtrian|west|veg|298|6.4|48.0|8.6|4.0|3.4|24.0|140|sweet|piece|70|festival
Malpua|मालपुआ|Bihari|east|veg|368|5.0|52.0|15.6|8.2|0.8|34.0|100|sweet|piece|40|festival,fried
Rabri|रबड़ी|North Indian|north|veg|246|7.2|28.0|11.6|7.4|0.1|26.0|95|sweet|bowl|100|festival
Kulfi|कुल्फी|North Indian|pan|veg|218|5.4|24.0|11.4|7.2|0.4|22.0|70|sweet|piece|60|summer
Sheer Khurma|शीर खुरमा|North Indian|north|veg|218|5.6|28.0|9.4|5.0|1.2|24.0|80|sweet|bowl|150|eid,festival
Chhena Poda|ଛେନା ପୋଡ଼|Odia|east|veg|312|11.0|34.0|14.6|9.0|0.4|30.0|110|sweet|piece|60|odia,baked
Pitha|পিঠা|Assamese|east|veg|286|4.0|46.0|10.0|6.4|1.6|20.0|70|sweet|piece|50|assamese,festival
Ghevar|घेवर|Rajasthani|north|veg|418|5.0|54.0|20.0|10.6|0.8|34.0|80|sweet|piece|60|teej,festival
Balushahi|बालूशाही|North Indian|north|veg|402|4.4|52.0|20.0|11.0|0.6|32.0|110|sweet|piece|40|festival
Soan Papdi|सोन पापड़ी|North Indian|pan|veg|492|4.6|64.0|24.0|13.0|0.8|48.0|70|sweet|piece|20|festival
# ---------------------------------------------------------------- SNACKS
Poha Chivda|चिवड़ा|Maharashtrian|west|veg|452|8.0|58.0|21.0|5.0|4.4|6.0|780|snack|bowl|30|namkeen
Sev|સેવ|Gujarati|west|veg|528|18.0|46.0|30.0|7.0|6.0|2.0|880|snack|bowl|25|namkeen
Bhujia|भुजिया|Rajasthani|north|veg|544|20.0|42.0|32.0|8.0|6.4|2.4|920|snack|bowl|25|namkeen,bikaner
Mathri|मठरी|Rajasthani|north|veg|498|8.0|54.0|28.0|9.0|2.6|1.4|620|snack|piece|20|namkeen
Chakli|चकली|Maharashtrian|west|veg|486|9.6|52.0|27.0|7.4|4.2|1.6|720|snack|piece|15|diwali
Murukku|முறுக்கு|South Indian|south|veg|478|9.0|54.0|25.0|7.0|3.6|1.2|680|snack|piece|15|diwali
Banana Chips|വാഴക്കാ ചിപ്സ്|South Indian|south|veg|536|2.4|58.0|34.0|24.0|4.4|8.0|180|snack|bowl|30|kerala
Masala Peanuts|मसाला मूंगफली|Fast Food|pan|veg|562|24.0|24.0|42.0|7.0|8.0|4.0|520|snack|bowl|30|protein
Roasted Chana|भुना चना|Healthy Foods|pan|veg|364|20.0|58.0|5.2|0.6|18.0|4.8|60|snack|bowl|30|healthy,protein
Makhana Roasted|मखाना|Healthy Foods|pan|veg|347|9.7|76.9|0.1|0.0|14.5|0.0|20|snack|bowl|25|healthy,fasting
Khakhra|ખાખરા|Gujarati|west|veg|398|11.6|62.0|11.0|2.6|8.4|2.0|560|snack|piece|15|healthy,travel
Fafda|ફાફડા|Gujarati|west|veg|502|13.0|46.0|30.0|7.4|5.0|2.0|760|snack|bowl|40|gujarati,fried
Papdi Gathiya|ગાંઠિયા|Gujarati|west|veg|512|13.4|48.0|30.0|7.6|5.2|2.2|780|snack|bowl|40|gujarati,fried
# ---------------------------------------------------------------- DRINKS
Masala Chai|मसाला चाय|North Indian|pan|veg|68|1.8|9.4|2.4|1.5|0.0|8.6|22|beverage|cup|150|everyday
Filter Coffee|ಫಿಲ್ಟರ್ ಕಾಫಿ|South Indian|south|veg|62|1.9|8.6|2.2|1.4|0.0|8.0|24|beverage|cup|120|everyday
Sweet Lassi|मीठी लस्सी|Punjabi|north|veg|98|3.0|15.0|2.6|1.6|0.0|14.0|46|beverage|glass|250|summer
Salted Lassi|नमकीन लस्सी|Punjabi|north|veg|54|3.2|5.0|2.4|1.5|0.0|4.4|240|beverage|glass|250|summer
Chaas|छाछ|Gujarati|west|veg|32|1.8|3.4|1.0|0.6|0.0|3.0|220|beverage|glass|250|digestive
Mango Lassi|आम लस्सी|Punjabi|north|veg|112|2.8|20.0|2.4|1.5|0.4|18.0|42|beverage|glass|250|summer
Nimbu Pani|नींबू पानी|Fast Food|pan|vegan|42|0.1|10.6|0.0|0.0|0.2|10.0|60|beverage|glass|250|summer
Aam Panna|आम पन्ना|North Indian|north|vegan|58|0.3|14.4|0.1|0.0|0.6|13.0|140|beverage|glass|200|summer
Jaljeera|जलजीरा|North Indian|north|vegan|28|0.4|6.6|0.1|0.0|0.4|5.4|320|beverage|glass|200|digestive
Coconut Water|नारियल पानी|Healthy Foods|south|vegan|19|0.7|3.7|0.2|0.2|1.1|2.6|105|beverage|glass|250|healthy
Sugarcane Juice|गन्ने का रस|Fast Food|pan|vegan|74|0.2|18.6|0.1|0.0|0.2|17.0|12|beverage|glass|250|summer,street
Badam Milk|बादाम दूध|North Indian|pan|veg|118|4.2|14.0|5.0|2.4|0.6|12.0|60|beverage|glass|200|winter
Thandai|ठंडाई|North Indian|north|veg|142|4.6|18.0|6.0|2.6|1.0|16.0|58|beverage|glass|200|holi,festival
Rose Milk|रोज़ मिल्क|South Indian|south|veg|104|3.2|16.0|3.2|2.0|0.0|15.0|48|beverage|glass|200|summer
Solkadhi|सोलकढी|Goan|west|veg|58|1.0|5.0|4.0|3.4|0.6|2.4|180|beverage|glass|150|goan,digestive
# ---------------------------------------------------------------- DAIRY & BASICS
Paneer|पनीर|Vegetarian|pan|veg|296|18.3|3.6|23.0|14.2|0.0|2.6|22|dairy|serving|50|protein,ingredient
Curd Dahi|दही|Vegetarian|pan|veg|60|3.1|4.7|3.3|2.1|0.0|4.7|46|dairy|bowl|150|everyday,probiotic
Greek Yogurt|ग्रीक योगर्ट|Healthy Foods|pan|veg|97|9.0|3.9|5.0|3.2|0.0|3.6|36|dairy|bowl|150|protein
Buffalo Milk|भैंस का दूध|Vegetarian|pan|veg|97|3.8|5.2|6.9|4.6|0.0|5.2|52|dairy|glass|200|everyday
Cow Milk|गाय का दूध|Vegetarian|pan|veg|61|3.2|4.8|3.3|1.9|0.0|4.8|43|dairy|glass|200|everyday
Toned Milk|टोंड दूध|Vegetarian|pan|veg|48|3.2|4.9|1.8|1.1|0.0|4.9|44|dairy|glass|200|everyday
Ghee|घी|Vegetarian|pan|veg|900|0.0|0.0|100.0|62.0|0.0|0.0|2|fat|spoon|10|ingredient
Butter|मक्खन|Vegetarian|pan|veg|717|0.9|0.1|81.0|51.0|0.0|0.1|11|fat|spoon|10|ingredient
Malai|मलाई|Vegetarian|pan|veg|340|2.6|3.0|35.0|22.0|0.0|3.0|30|dairy|spoon|15|ingredient
Khoya|खोया|Vegetarian|pan|veg|420|14.0|20.0|31.0|20.0|0.0|20.0|80|dairy|serving|30|ingredient
Cheese Processed|चीज़|Vegetarian|pan|veg|350|22.0|2.4|28.0|18.0|0.0|1.0|1200|dairy|piece|20|ingredient
# ---------------------------------------------------------------- FRUITS
Mango|आम|Healthy Foods|pan|vegan|60|0.8|15.0|0.4|0.1|1.6|13.7|1|fruit|piece|200|summer
Banana|केला|Healthy Foods|pan|vegan|89|1.1|22.8|0.3|0.1|2.6|12.2|1|fruit|piece|120|everyday
Apple|सेब|Healthy Foods|pan|vegan|52|0.3|13.8|0.2|0.0|2.4|10.4|1|fruit|piece|180|everyday
Papaya|पपीता|Healthy Foods|pan|vegan|43|0.5|10.8|0.3|0.1|1.7|7.8|8|fruit|bowl|150|digestive
Guava|अमरूद|Healthy Foods|pan|vegan|68|2.6|14.3|1.0|0.3|5.4|8.9|2|fruit|piece|100|vitamin-c
Pomegranate|अनार|Healthy Foods|pan|vegan|83|1.7|18.7|1.2|0.1|4.0|13.7|3|fruit|bowl|150|antioxidant
Watermelon|तरबूज|Healthy Foods|pan|vegan|30|0.6|7.6|0.2|0.0|0.4|6.2|1|fruit|bowl|200|summer
Orange|संतरा|Healthy Foods|pan|vegan|47|0.9|11.8|0.1|0.0|2.4|9.4|0|fruit|piece|130|vitamin-c
Grapes|अंगूर|Healthy Foods|pan|vegan|69|0.7|18.1|0.2|0.1|0.9|15.5|2|fruit|bowl|100|everyday
Chikoo|चीकू|Healthy Foods|pan|vegan|83|0.4|20.0|1.1|0.2|5.3|15.0|12|fruit|piece|90|everyday
Custard Apple|सीताफल|Healthy Foods|pan|vegan|94|2.1|23.6|0.6|0.0|4.4|18.0|4|fruit|piece|150|winter
Jackfruit|कटहल|Healthy Foods|south|vegan|95|1.7|23.2|0.6|0.2|1.5|19.1|2|fruit|bowl|150|summer
Litchi|लीची|Healthy Foods|east|vegan|66|0.8|16.5|0.4|0.1|1.3|15.2|1|fruit|bowl|100|summer
Amla|आंवला|Healthy Foods|pan|vegan|44|0.9|10.2|0.6|0.1|4.3|4.0|1|fruit|piece|40|vitamin-c
Dates|खजूर|Healthy Foods|pan|vegan|282|2.5|75.0|0.4|0.0|8.0|63.0|2|fruit|piece|8|energy
# ---------------------------------------------------------------- VEGETABLES RAW
Potato|आलू|Vegetarian|pan|vegan|77|2.0|17.5|0.1|0.0|2.2|0.8|6|vegetable|piece|150|staple
Onion|प्याज|Vegetarian|pan|vegan|40|1.1|9.3|0.1|0.0|1.7|4.2|4|vegetable|piece|100|staple
Tomato|टमाटर|Vegetarian|pan|vegan|18|0.9|3.9|0.2|0.0|1.2|2.6|5|vegetable|piece|100|staple
Spinach|पालक|Healthy Foods|pan|vegan|23|2.9|3.6|0.4|0.1|2.2|0.4|79|vegetable|bowl|100|iron
Cauliflower|फूलगोभी|Vegetarian|pan|vegan|25|1.9|5.0|0.3|0.1|2.0|1.9|30|vegetable|bowl|100|everyday
Okra|भिंडी|Vegetarian|pan|vegan|33|1.9|7.5|0.2|0.0|3.2|1.5|7|vegetable|bowl|100|everyday
Bottle Gourd|लौकी|Healthy Foods|pan|vegan|14|0.6|3.4|0.0|0.0|0.5|0.5|2|vegetable|bowl|100|light
Bitter Gourd|करेला|Healthy Foods|pan|vegan|17|1.0|3.7|0.2|0.0|2.8|1.9|5|vegetable|bowl|100|diabetic
Carrot|गाजर|Healthy Foods|pan|vegan|41|0.9|9.6|0.2|0.0|2.8|4.7|69|vegetable|piece|80|vitamin-a
Green Peas|मटर|Healthy Foods|pan|vegan|81|5.4|14.5|0.4|0.1|5.7|5.7|5|vegetable|bowl|100|protein
Cabbage|पत्ता गोभी|Vegetarian|pan|vegan|25|1.3|5.8|0.1|0.0|2.5|3.2|18|vegetable|bowl|100|everyday
Drumstick|सहजन|Healthy Foods|south|vegan|37|2.1|8.5|0.2|0.0|3.2|1.8|42|vegetable|piece|50|healthy
Eggplant|बैंगन|Vegetarian|pan|vegan|25|1.0|5.9|0.2|0.0|3.0|3.5|2|vegetable|piece|100|everyday
Sweet Potato|शकरकंद|Healthy Foods|pan|vegan|86|1.6|20.1|0.1|0.0|3.0|4.2|55|vegetable|piece|130|fasting
# ---------------------------------------------------------------- GRAINS RAW
Basmati Rice Raw|बासमती चावल|Vegetarian|pan|vegan|349|7.5|78.0|0.6|0.2|1.3|0.1|5|grain|cup|180|staple
Wheat Flour Atta|गेहूं का आटा|Vegetarian|pan|vegan|341|12.1|69.4|1.7|0.3|11.2|0.4|2|grain|cup|120|staple
Besan|बेसन|Vegetarian|pan|vegan|387|22.4|57.8|6.7|0.7|10.8|10.8|64|legume|cup|90|staple
Suji Rava|सूजी|Vegetarian|pan|vegan|360|12.7|72.8|1.1|0.2|3.9|0.0|1|grain|cup|160|staple
Poha Raw|पोहा|Vegetarian|pan|vegan|346|6.6|77.3|1.2|0.3|2.6|0.4|8|grain|cup|100|staple
Oats|ओट्स|Healthy Foods|pan|vegan|389|16.9|66.3|6.9|1.2|10.6|0.0|2|grain|cup|80|healthy,fiber
Quinoa|क्विनोआ|Healthy Foods|pan|vegan|368|14.1|64.2|6.1|0.7|7.0|4.6|5|grain|cup|170|healthy,protein
Ragi Flour|रागी आटा|Healthy Foods|south|vegan|328|7.3|72.0|1.3|0.3|11.5|0.5|11|grain|cup|120|calcium
Bajra|बाजरा|Healthy Foods|north|vegan|361|11.6|67.5|5.0|0.9|11.3|1.0|12|grain|cup|150|millet
Jowar|ज्वार|Healthy Foods|west|vegan|349|10.4|72.6|1.9|0.3|9.7|0.9|7|grain|cup|150|millet
